trial_id,left_image_id,right_image_id,trial_index,prompt_id,prompt_text,left_family,left_module,right_family,right_module,pair_group,pair_families,has_anchor,has_blend,has_ambiguous,has_foil,pair_modules,baseline_r,mean_permuted_r,importance_r_drop,baseline_rmse,mean_permuted_rmse,importance_rmse_increase
T032,IMG_050,IMG_030,32,P12,Which image feels more like a place you have been in recently?,ambiguous,burden,blend,clarity,ambiguous,ambiguous+blend,False,True,True,False,burden+clarity,0.7268777330875346,0.7060520556802312,0.020825677407303345,7.856195898755707,8.08890828230981,0.2327123835541025
T027,IMG_005,IMG_052,27,P07,Which image feels harder to leave?,anchor,clarity,ambiguous,energy,ambiguous,ambiguous+anchor,True,False,True,False,clarity+energy,0.7268777330875346,0.7072683916891044,0.01960934139843018,7.856195898755707,8.0883517174716,0.23215581871589297
T009,IMG_007,IMG_058,9,P01,Which image feels closer to your past week?,anchor,clarity,foil,energy,foil,anchor+foil,True,False,False,True,clarity+energy,0.7268777330875346,0.7083544938938154,0.01852323919371912,7.856195898755707,8.068766111757707,0.2125702130020004
T003,IMG_003,IMG_031,3,P03,Which image would you rather move away from?,anchor,energy,blend,clarity,blend,anchor+blend,True,True,False,False,energy+clarity,0.7268777330875346,0.7092575299215726,0.017620203165961912,7.856195898755707,8.042945108142472,0.18674920938676554
T016,IMG_013,IMG_042,16,P08,Which image feels more difficult to describe?,anchor,burden,ambiguous,clarity,ambiguous,ambiguous+anchor,True,False,True,False,burden+clarity,0.7268777330875346,0.7099071176718973,0.01697061541563727,7.856195898755707,8.057000902882908,0.2008050041272016
T012,IMG_040,IMG_026,12,P04,Which image feels more like the background of your day?,blend,burden,blend,energy,blend,blend,False,True,False,False,burden+energy,0.7268777330875346,0.7102531888162539,0.016624544271280683,7.856195898755707,8.050338395047392,0.19414249629168534
T019,IMG_024,IMG_033,19,P11,Which image feels more like the end of the day?,blend,connection,blend,clarity,blend,blend,False,True,False,False,connection+clarity,0.7268777330875346,0.7110113758542305,0.015866357233304096,7.856195898755707,8.041794743283816,0.18559884452810937
T030,IMG_037,IMG_063,30,P10,Which image feels more like the last few mornings?,blend,connection,foil,energy,foil,blend+foil,False,True,False,True,connection+energy,0.7268777330875346,0.7118797264477069,0.014998006639827643,7.856195898755707,8.032730198130645,0.17653429937493836
T029,IMG_031,IMG_028,29,P09,Which image pulls your attention more?,blend,clarity,blend,burden,blend,blend,False,True,False,False,clarity+burden,0.7268777330875346,0.7127834966897761,0.01409423639775842,7.856195898755707,8.021953033061942,0.16575713430623562
T039,IMG_045,IMG_014,39,P08,Which image feels more difficult to describe?,ambiguous,energy,anchor,burden,ambiguous,ambiguous+anchor,True,False,True,False,energy+burden,0.7268777330875346,0.7130247072459888,0.013853025841545796,7.856195898755707,8.040881869322982,0.18468597056727543
T025,IMG_027,IMG_042,25,P05,Which image feels more emotionally loud?,blend,energy,ambiguous,clarity,ambiguous,ambiguous+blend,False,True,True,False,energy+clarity,0.7268777330875346,0.7132693513602104,0.013608381727324148,7.856195898755707,8.015921434101658,0.15972553534595146
T017,IMG_004,IMG_043,17,P09,Which image pulls your attention more?,anchor,energy,ambiguous,connection,ambiguous,ambiguous+anchor,True,False,True,False,energy+connection,0.7268777330875346,0.7137271560509195,0.013150577036615041,7.856195898755707,8.013191396171774,0.15699549741606678
T040,IMG_044,IMG_006,40,P08,Which image feels more difficult to describe?,ambiguous,burden,anchor,clarity,ambiguous,ambiguous+anchor,True,False,True,False,burden+clarity,0.7268777330875346,0.7137823938004092,0.013095339287125363,7.856195898755707,8.033425621745833,0.17722972299012607
T010,IMG_017,IMG_013,10,P02,Which image feels more familiar right now?,blend,energy,anchor,burden,blend,anchor+blend,True,True,False,False,energy+burden,0.7268777330875346,0.7141495883287039,0.012728144758830662,7.856195898755707,8.012417561849842,0.15622166309413554
T024,IMG_023,IMG_008,24,P05,Which image feels more emotionally loud?,blend,energy,anchor,clarity,blend,anchor+blend,True,True,False,False,energy+clarity,0.7268777330875346,0.7147162725814071,0.01216146050612743,7.856195898755707,8.014056054434118,0.15786015567841094
T034,IMG_062,IMG_019,34,P02,Which image feels more familiar right now?,foil,clarity,blend,energy,foil,blend+foil,False,True,False,True,clarity+energy,0.7268777330875346,0.714836736242875,0.012040996844659535,7.856195898755707,7.995413701123817,0.1392178023681101
T035,IMG_018,IMG_038,35,P03,Which image would you rather move away from?,blend,energy,blend,connection,blend,blend,False,True,False,False,energy+connection,0.7268777330875346,0.7156189200717011,0.011258813015833424,7.856195898755707,7.996069656584965,0.1398737578292586
T006,IMG_022,IMG_019,6,P06,Which image feels more like your current inner weather?,blend,energy,blend,energy,blend,blend,False,True,False,False,energy+energy,0.7268777330875346,0.7159893715894021,0.010888361498132437,7.856195898755707,7.969220025172797,0.11302412641709036
T013,IMG_022,IMG_062,13,P05,Which image feels more emotionally loud?,blend,energy,foil,clarity,foil,blend+foil,False,True,False,True,energy+clarity,0.7268777330875346,0.716325356126617,0.010552376960917598,7.856195898755707,7.978939786576732,0.12274388782102541
T015,IMG_014,IMG_045,15,P07,Which image feels harder to leave?,anchor,burden,ambiguous,energy,ambiguous,ambiguous+anchor,True,False,True,False,burden+energy,0.7268777330875346,0.7169028653645938,0.009974867722940761,7.856195898755707,7.979461915508039,0.12326601675233206
T037,IMG_015,IMG_057,37,P05,Which image feels more emotionally loud?,anchor,burden,foil,connection,foil,anchor+foil,True,False,False,True,burden+connection,0.7268777330875346,0.7170513176674321,0.00982641542010243,7.856195898755707,7.964806644411653,0.10861074565594642
T023,IMG_025,IMG_037,23,P03,Which image would you rather move away from?,blend,energy,blend,connection,blend,blend,False,True,False,False,energy+connection,0.7268777330875346,0.7178798590653923,0.00899787402214225,7.856195898755707,7.960858484374701,0.10466258561899444
T005,IMG_058,IMG_042,5,P05,Which image feels more emotionally loud?,foil,energy,ambiguous,clarity,foil,ambiguous+foil,False,False,True,True,energy+clarity,0.7268777330875346,0.7180385409573888,0.008839192130145723,7.856195898755707,7.961105531078284,0.10490963232257755
T004,IMG_060,IMG_042,4,P04,Which image feels more like the background of your day?,foil,connection,ambiguous,clarity,foil,ambiguous+foil,False,False,True,True,connection+clarity,0.7268777330875346,0.7186720080919204,0.008205724995614117,7.856195898755707,7.9509599026526265,0.09476400389691975
T011,IMG_054,IMG_045,11,P03,Which image would you rather move away from?,foil,clarity,ambiguous,energy,foil,ambiguous+foil,False,False,True,True,clarity+energy,0.7268777330875346,0.7192557411912467,0.007621991896287872,7.856195898755707,7.954396494144007,0.09820059538829984
T038,IMG_036,IMG_060,38,P06,Which image feels more like your current inner weather?,blend,burden,foil,connection,foil,blend+foil,False,True,False,True,burden+connection,0.7268777330875346,0.719340372739977,0.007537360347557587,7.856195898755707,7.946468319969112,0.09027242121340517
T033,IMG_042,IMG_048,33,P01,Which image feels closer to your past week?,ambiguous,clarity,ambiguous,energy,ambiguous,ambiguous,False,False,True,False,clarity+energy,0.7268777330875346,0.7222272692197091,0.004650463867825416,7.856195898755707,7.90988933818214,0.05369343942643301
T002,IMG_047,IMG_058,2,P02,Which image feels more familiar right now?,ambiguous,connection,foil,energy,foil,ambiguous+foil,False,False,True,True,connection+energy,0.7268777330875346,0.7248064128665399,0.0020713202209946546,7.856195898755707,7.876759596532894,0.02056369777718725
T008,IMG_033,IMG_037,8,P08,Which image feels more difficult to describe?,blend,clarity,blend,connection,blend,blend,False,True,False,False,clarity+connection,0.7268777330875346,0.7249722459965267,0.001905487091007907,7.856195898755707,7.876986438418878,0.020790539663170904
T014,IMG_060,IMG_035,14,P06,Which image feels more like your current inner weather?,foil,connection,blend,clarity,foil,blend+foil,False,True,False,True,connection+clarity,0.7268777330875346,0.7251264937022607,0.001751239385273884,7.856195898755707,7.888105454881341,0.031909556125634175
